"New Sort","Original Sort","Year","Trip","Ship","Comments","Transit","Arrival","Departure","Port","Port City","Port State","Port Country","Area","Original Date Span","Original Complete Port","","","","","","","","","",""
"122","131","","","","","4","02/10/39","02/14/39","4","Balboa","","Panama","","10-14 Feb 39","Balboa, Panama","","","","","","","","","",""
"123","132","","","","Underway Training","0","02/14/39","02/16/39","2","St. Elmo Bay","","Malta","","14-16 Feb 39","St.Elmo Bay, Perlas Island","","","","","","","","","",""
"124","133","","","","","8","02/24/39","02/28/39","4","Callao","","Peru","","24-28 Feb 39","Callao, Peru","","","","","","","","","",""
"125","134","","","","","8","03/08/39","03/14/39","6","Valparaiso","","Chile","","08-14 Mar 39","Valparaiso, Chile","","","","","","","","","",""
"126","135","","","","cancelled due to Bubonic plague","9","03/23/39","03/27/39","4","Guayaquil","","Ecuador","","23-27 Mar 39","Guayaquil","","","","","","","","","",""
"127","136","","","","","-1","03/26/39","03/31/39","5","Balboa","","Panama","","26-31 Mar 39","Balboa, Panama","","","","","","","","","",""
"128","137","","","","","8","04/08/39","04/10/39","2","Manzanillo","Colima","Mexico","","08-10 Apr 39","Manzanillo, Mexico","","","","","","","","","",""
"129","138","","","","Underway Training","1","04/11/39","04/13/39","2","Magdalena Bay","","Mexico","","11-13 Apr 39","Magdelena Bay, Mexico","","","","","","","","","",""
"130","139","","","","","2","04/15/39","04/21/39","6","Long Beach","California","USA","","15-21 Apr 39","Long Beach, Calif","","","","","","","","","",""
"131","140","","","","","0","04/21/39","04/23/39","2","Santa Barbara","California","USA","","21-23 Apr 39","Santa Barbara","","","","","","","","","",""
"132","141","","","","12,290 miles","6","04/29/39","04/29/39","0","Tiburon","California","USA","","04/29/39","Tiburon","","","","","","","","","",""
"133","","","","","","","","","","","","","","","","","","","","","","","","",""
"134","144","1939-2","World'S Fair","California State","","","05/12/39","05/12/39","0","Tiburon","California","USA","","05/12/39","Tiburon","","","","","","","","","",""
"135","145","","","","Golden Gate International Exposition","0","05/12/39","06/17/39","36","Treasure Island","California","USA","","","Treasure Island, San Fran ","","","","","","","","","",""
"136","146","","","","","0","06/17/39","06/17/39","0","Tiburon","California","USA","","06/17/39","Tiburon","","","","","","","","","",""
"137","","","","","","","","","","","","","","","","","","","","","","","","",""
"138","149","1940-1","East Coast","California State","","","01/17/40","01/17/40","0","Tiburon","California","USA","","01/17/40","Tiburon","","","","","","","","","",""
"139","150","","","","","3","01/20/40","01/22/40","2","Long Beach","California","USA","","20-22 Jan 40","Long Beach, Calif","","","","","","","","","",""
"140","151","","","","","7","01/29/40","02/02/40","4","Acapulco","Guerrero","Mexico","","29 Jan-02 Feb 40","Acapulco, Mexico","","","","","","","","","",""
"141","152","","","","","6","02/08/40","02/13/40","5","Balboa","","Panama","","08-13 Feb 40","Balboa, Panama","","","","","","","","","",""
"142","153","","","","Including rifle range training","4","02/17/40","02/23/40","6","Guantanamo","","Cuba","","17-23 Feb 40","Guantanamo, Cuba","","","","","","","","","",""
"143","154","","","","","3","02/26/40","02/29/40","3","San Juan","","Puerto Rico","","26-29 Feb 40","San Juan, Puerto Rico","","","","","","","","","",""
"144","155","","","","","4","03/04/40","03/08/40","4","Havana","","Cuba","","04-08 Mar 40","Havana, Cuba","","","","","","","","","",""
"145","156","","","","","1","03/09/40","03/14/40","5","Miami","Florida","USA","","09-14 Mar 40","Miami, Florida","","","","","","","","","",""
"146","157","","","","","2","03/16/40","03/18/40","2","Newport News","Virginia","USA","","16-18 Mar 40","Newport News, Virginia","","","","","","","","","",""
"147","158","","","","","1","03/19/40","03/25/40","6","Washington DC","Washington DC","USA","","19-25 Mar 40","Washington DC","","","","","","","","","",""
