"Cleaned Port","Country","Lat","Lng","Frequency","Wikidata ID"
"Honolulu","United States of America","21.3098845","-157.8581401","49",""
"Houston","United States of America","29.7600771","-95.3701108","2",""
"Iquique","Chile","-20.2307033","-70.1356692","2",""
"Isla Roatan","Honduras","16.3297608","-86.5299673","2",""
"Istanbul","Turkey","41.0082376","28.9783589","1",""
"Juneau","United States of America","58.3004933","-134.4201306","1",""
"Kahului","United States of America","20.8893016","-156.4728725","3",""
"Kailua-Kona","United States of America","19.6419129","-155.9962255","4",""
"Ketchikan","United States of America","55.3422222","-131.6461111","1",""
"Kingston","Jamaica","18.0178743","-76.8099041","3",""
"Kiska","United States of America","52.0602077","177.5735601","2",""
"Kobe","Japan","34.6900806","135.1956311","4",""
"Kodiak","United States of America","57.79","-152.4072222","2",""
"La Union","El Salvador","13.3323464","-87.8500644","2",""
"Lahaina","United States of America","20.882371","-156.6816195","16",""
"Lahaina Roads","United States of America","20.8676976","-156.7557483","10",""
"Lanai","United States of America","20.8165975","-156.9273193","4",""
"Lazaro Cardenas","Mexico","17.9567646","-102.1943485","1",""
"Lima","Peru","-12.0466888","-77.0430886","2",""
"Lisbon","Portugal","38.7222524","-9.1393366","1",""
"Long Beach","United States of America","33.7700504","-118.1937395","58",""
"Los Angeles","United States of America","34.0549076","-118.242643","11",""
"Magdalena Bay","Mexico","24.583333","-112","11",""
"Majuro Atoll","","7.066667","171.266667","1",""
"Makpo","Korea","34.7990407","126.3894783","1",""
"Manila","Philippines","14.5995124","120.9842195","3",""
"Manzanillo","Mexico","19.0536292","-104.3170724","7",""
"MARAD fleet","United States of America","38.0781856","-122.0723816","1",""
"Marseilles","France","43.3025742","5.3690743","2",""
"Martinez","United States of America","38.0193657","-122.1341321","1",""
"Mazatlan","Mexico","23.2494148","-106.4111425","9",""
"Melbourne","Australia","-37.8136276","144.9630576","1",""
"Miami","United States of America","25.7616798","-80.1917902","1",""
"Midway Island","","28.2072168","-177.3734926","4",""
"Montego Bay","Jamaica","18.4713814","-77.9228676","1",""
"Monterey","United States of America","36.6002378","-121.8946761","8",""
"Montevideo","Uruguay","-34.9055016","-56.1851147","2",""
"Morrow Cove","United States of America","38.0674615","-122.2331268","6",""
"Naha","Japan","26.2130411","127.6785471","4",""
"Naples","Italy","40.8517983","14.26812","4",""
"Nawiliwili","United States of America","21.9570974","-159.3591416","1",""
"New Orleans","United States of America","29.9510658","-90.0715323","7",""
"New York City","United States of America","40.7127753","-74.0059728","1",""
"New Zealand","New Zealand","-40.900557","174.885971","1",""
"Newport News","United States of America","37.0870821","-76.4730122","1",""
"Nigata","Japan","37.9161244","139.0363708","1",""
"North San Francisco Bay","United States of America","37.8271784","-122.2913078","12",""
"Noumea","New Caledonia","-22.2716866","166.4398627","6",""
"Nuka Hiva","French Polynesia","-8.8604808","-140.1420882","4",""
"Nukualofa","Tonga","-21.1343065","-175.2004858","5",""
"Oakland","United States of America","37.8043514","-122.2711639","13",""
"Pago Pago","American Samoa","-14.2732232","-170.7030309","6",""
"Palmyra Island","","5.8885026","-162.0786656","3",""
"Panama","Panama","8.537981","-80.782127","2",""
"Panama Canal","Panama","9.143803437","-79.7285161","7",""
"Papeete","French Polynesia","-17.5324608","-149.5677151","15",""
"Pernambuco","","-8.8137173","-36.954107","1",""
"Pireasus","Greece","37.9429857","23.6469832","2",""
"Ponta Delgada","Portugal","37.7394207","-25.6686725","2",""
"Port au Prince","Haiti","18.594395","-72.3074326","1",""
"Port Everglade","United States of America","26.0950632","-80.1244087","1",""
"Port Hueneme","United States of America","34.1477829","-119.1951074","1",""
"Port of Spain","Trinidad","10.6603435","-61.5086355","5",""
"Port Said","Egypt","31.2652893","32.3018661","1",""
"Port San Luis","United States of America","35.1718487","-120.756115","1",""
"Portland","United States of America","45.515232","-122.6783853","6",""
"Prince William Sound","United States of America","60.6905448","-147.0970548","1",""
"Puerto Vallarta","Mexico","20.6565177","-105.211358","5",""
"Punta Arenas, Chile","Costa Rica","-53.1633845","-70.9078263","2",""
"Punta Arenas, Costa Rica","Costa Rica","9.9778439","-84.8294211","5",""
"Quepos","Costa Rica","9.4318681","-84.1619076","2",""
"Rabaul","Papua New Guinea","-4.1999648","152.1644612","1",""
"Rarotonga","Cook Islands","-21.2292371","-159.7763491","4",""
"Redwood Creek","","41.2923449","-124.0920167","1",""
"Richmond","United States of America","37.9357576","-122.3477486","9",""
"Rio de Janeiro","Brazil","-22.9068467","-43.1728965","5",""
"Robinson Crusoe Island","Chile","-33.6414001","-78.8460993","1",""
"Rodman","Panama","8.9613962","-79.5631537","4",""
"Sacramento","United States of America","38.5815719","-121.4943996","10",""
"Saipan","Japan","15.1850483","145.7467259","9",""
"Salina Cruz","","16.1842839","-95.2087625","1",""
"San Blas Island","Panama","9.570319192","-78.7872015","2",""
"San Clemente Island","United States of America","32.9028812","-118.4980744","5",""
"San Diego","United States of America","32.715738","-117.1610838","60",""
"San Francisco","United States of America","37.7749295","-122.4194155","47",""
"San Francisco Bay","United States of America","37.6909682","-122.3107517","37",""
"San Jose","Guatemala","13.9824116","-90.8865834","2",""
"San Juan","United States of America","18.4153108","-66.0593509","2",""
"San Pablo Bay","United States of America","38.043987","-122.4014193","8",""
"San Pedro","United States of America","33.7360696","-118.2923791","8",""
"Santa Barbara","United States of America","34.4208305","-119.6981901","27",""
"Santa Catalina Island","United States of America","33.3878856","-118.4163103","10",""
"Santa Cruz","United States of America","36.9741171","-122.0307963","2",""
"Sasebo","Japan","33.1804356","129.7157996","2",""
"Seattle","United States of America","47.6061389","-122.3328481","16",""
"SF Bay and Farallone Islands","United States of America","37.6985723","-123.0022067","1",""
"Shanghai","China","31.230416","121.473701","4",""
"Singapore","Malaysia","4.210484","101.975766","2",""
"Sitka","United States of America","57.0532193","-135.3345513","1",""
"St. Elmo Bay","Malta","8.297042254","-78.90216628","3",""
"St. Thomas","Virgin Islands","18.3380965","-64.8940946","2",""
"Stockton","United States of America","37.9577016","-121.2907796","13",""
"Subic Bay","Philippines","14.7910576","120.2397336","2",""
"Suisun Bay","United States of America","38.0781856","-122.0723816","1",""
"Suva","Fiji","-18.1405049","178.4232507","12",""
"Sydney","Australia","-33.8688197","151.2092955","9",""
"Tacoma","United States of America","47.2528768","-122.4442906","1",""
"Tiburon","United States of America","37.8735377","-122.4566392","27",""
"Treasure Island","United States of America","37.825284","-122.3699786","4",""
"Trinidad","Trinidad","10.691803","-61.222503","1",""
"Vallejo","United States of America","38.1040864","-122.2566367","216",""
"Valparaiso","Chile","-33.0473128","-71.6127458","16",""
"Vancouver","Canada","49.2827291","-123.1207375","5",""
"Vera Cruz","Canada","19.173773","-96.1342241","2",""
"Victoria","Canada","48.4284207","-123.3656444","1",""
"Villefranche","France","43.703976","7.311109","1",""
"Vladivostok","Russia","43.1332484","131.9112975","3",""
"Wake Island","","19.279619","166.6499348","2",""
"Washington DC","United States of America","38.9071923","-77.0368707","2",""
"Wellington","New Zealand","-41.2923814","174.7787463","1",""
"Willemstad","Curacao","12.103852","-68.9323695","5",""
"Yokohama","Japan","35.4436739","139.6379639","3",""
"Zihuatanejo","Mexico","17.641769","-101.5515328","5",""
